2024-07-01 11:29:08.584 -05 [8052] LOG:  checkpoint complete: wrote 46 buffers (0.3%); 0 WAL file(s) added, 0 removed, 0 recycled; write=4.605 s, sync=0.018 s, total=4.637 s; sync files=11, longest=0.007 s, average=0.002 s; distance=341 kB, estimate=482 kB; lsn=0/C37F090, redo lsn=0/C371A18
2024-07-01 11:34:03.592 -05 [8052] LOG:  empezando checkpoint: time
2024-07-01 11:34:09.884 -05 [8052] LOG:  checkpoint complete: wrote 62 buffers (0.4%); 0 WAL file(s) added, 0 removed, 0 recycled; write=6.251 s, sync=0.028 s, total=6.293 s; sync files=13, longest=0.008 s, average=0.003 s; distance=227 kB, estimate=456 kB; lsn=0/C3AA830, redo lsn=0/C3AA7F8
2024-07-01 11:39:03.890 -05 [8052] LOG:  empezando checkpoint: time
2024-07-01 11:39:05.734 -05 [8052] LOG:  checkpoint complete: wrote 20 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.819 s, sync=0.013 s, total=1.844 s; sync files=11, longest=0.007 s, average=0.002 s; distance=88 kB, estimate=419 kB; lsn=0/C3C0B98, redo lsn=0/C3C0B60
2024-07-01 12:09:03.755 -05 [8052] LOG:  empezando checkpoint: time
2024-07-01 12:09:07.036 -05 [8052] LOG:  checkpoint complete: wrote 33 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=3.235 s, sync=0.029 s, total=3.281 s; sync files=10, longest=0.011 s, average=0.003 s; distance=207 kB, estimate=398 kB; lsn=0/C3F4AD8, redo lsn=0/C3F4AA0
2024-07-01 12:34:03.053 -05 [8052] LOG:  empezando checkpoint: time
2024-07-01 12:34:05.096 -05 [8052] LOG:  checkpoint complete: wrote 21 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.990 s, sync=0.032 s, total=2.044 s; sync files=10, longest=0.010 s, average=0.004 s; distance=94 kB, estimate=368 kB; lsn=0/C40C348, redo lsn=0/C40C310
2024-07-01 12:39:03.104 -05 [8052] LOG:  empezando checkpoint: time
2024-07-01 12:39:10.690 -05 [8052] LOG:  checkpoint complete: wrote 73 buffers (0.4%); 0 WAL file(s) added, 0 removed, 0 recycled; write=7.538 s, sync=0.030 s, total=7.586 s; sync files=11, longest=0.007 s, average=0.003 s; distance=490 kB, estimate=490 kB; lsn=0/C486D70, redo lsn=0/C486D00
2024-07-01 12:44:03.696 -05 [8052] LOG:  empezando checkpoint: time
2024-07-01 12:44:22.139 -05 [8052] LOG:  checkpoint complete: wrote 174 buffers (1.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=18.391 s, sync=0.032 s, total=18.443 s; sync files=16, longest=0.009 s, average=0.002 s; distance=895 kB, estimate=895 kB; lsn=0/C566C98, redo lsn=0/C566C60
2024-07-01 12:49:03.147 -05 [8052] LOG:  empezando checkpoint: time
2024-07-01 12:49:05.278 -05 [8052] LOG:  checkpoint complete: wrote 22 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.086 s, sync=0.024 s, total=2.131 s; sync files=10, longest=0.009 s, average=0.003 s; distance=153 kB, estimate=821 kB; lsn=0/C58D3A8, redo lsn=0/C58D370
2024-07-01 12:59:03.280 -05 [8052] LOG:  empezando checkpoint: time
